"CC","Restaurante","Miu","Lambda","Distribucion","P0","Lq","L","Wq","W","Pw"
"La Pradera","BurgerKing",2.421053,0.7075969,0.13453451,0.707731759692993,0.354356601861784,0.64662484216879,0.500788799190307,0.913832214596744,0.292268240307007
"La Pradera","GoGreen",4.016964,0.4297836,0.07370951,0.89300785369249,0.164951001632767,0.271943147940277,0.383800130188232,0.632744357719273,0.10699214630751
"La Pradera","PandaExpress",4.25637,1.5551378,0.2766263,0.634632844419071,1.5348300726599,1.90019722824083,0.986941525477616,1.22188350655539,0.365367155580929
"La Pradera","PolloCampero",3.300887,1.2305554,0.22270316,0.627204627119923,0.949755013489776,1.32255038636985,0.771810040807407,1.07475891485247,0.372795372880077
"La Pradera","Subway",4.012992,0.6217458,0.11703048,0.845066773120903,0.326675636987011,0.481608863866108,0.525416716907475,0.77460734574501,0.154933226879097
"La Pradera","TacoBell",3.597374,0.9191286,0.17539603,0.744500127037111,0.62895175921573,0.884451632178619,0.684291359463442,0.962271908608457,0.255499872962889
"Miraflores","BurgerKing",2.610795,0.4647063,0.10525492,0.822005825811678,0.17751375709883,0.355507931287152,0.381991285891389,0.765016379780416,0.177994174188322
"Miraflores","GoGreen",5.628205,0.2475636,0.07101544,0.956013755717853,0.0585919187157866,0.102578162997933,0.236674207015032,0.414350748647755,0.0439862442821468
"Miraflores","KFC",3.128381,0.743415,0.21867877,0.7623643028135,0.421332724743984,0.658968421930484,0.566753058176098,0.886407217947558,0.2376356971865
"Miraflores","McDonalds",2.880083,0.7327809,0.19300227,0.745569520045082,0.400346860269245,0.654777340224163,0.546339103911203,0.893551319670263,0.254430479954918
"Miraflores","PolloCampero",3.261479,0.4285858,0.12258158,0.868591580690846,0.159547928916044,0.290956348225198,0.372266017483651,0.678875380904357,0.131408419309154
"Miraflores","Subway",4.176696,0.5282452,0.15602137,0.873525580985545,0.243751191115403,0.370225610129858,0.461435695232825,0.700859392815795,0.126474419014455
"Miraflores","TacoBell",3.502752,0.5749746,0.13344566,0.835850611176583,0.276328693663163,0.440478082486579,0.480592870821012,0.766082679976784,0.164149388823417
"Pradera Concepción","BurgerKing",3.437833,0.6673249,0.13518627,0.805887924166183,0.358880042967979,0.552992118801797,0.537789078405405,0.828669990887193,0.194112075833817
"Pradera Concepción","GoGreen",3.585845,0.4445722,0.08722362,0.876020240696405,0.173140530788374,0.29712029009197,0.38945424565093,0.668328541667629,0.123979759303595
"Pradera Concepción","McDonalds",3.365,0.8426091,0.15388652,0.749596106983655,0.5322058115109,0.782609704527245,0.631616501069001,0.928793321277025,0.250403893016345
"Pradera Concepción","PandaExpress",2.841284,0.9994518,0.19100754,0.648239387544504,0.647528852691002,0.999289465146497,0.647884022712253,0.999837576105718,0.351760612455496
"Pradera Concepción","PolloCampero",4.146909,1.1434085,0.20780188,0.724274513860806,0.946904185213807,1.222629671353,0.828141635481813,1.06928509920383,0.275725486139194
"Pradera Concepción","Subway",3.710294,0.4409287,0.08999043,0.88116071125361,0.171313607563677,0.290152896310067,0.388529046904129,0.658049467657849,0.11883928874639
"Pradera Concepción","TacoBell",3.633033,0.7363869,0.13490373,0.797307951785739,0.432352727874154,0.635044776088415,0.58712713096085,0.862379241249967,0.202692048214261
